sampleId,expectedLabels,predictedLabels,truePositive,falsePositive,falseNegative,precision,recall,f1Score,analysisTimeMs,notes
"test_modal_001","modal_without_exit|missing_exit_control","modal_without_exit|missing_exit_control",2,0,0,1,1,1,1,"Modal-like frame with no close option."
"test_spacing_001","spacing_inconsistency","spacing_inconsistency",1,0,0,1,1,1,0,"Repeated components use inconsistent spacing."
"test_shape_001","button_shape_inconsistency","button_shape_inconsistency",1,0,0,1,1,1,0,"Similar buttons use different shape and corner radius."
"test_alignment_001","alignment_inconsistency","alignment_inconsistency",1,0,0,1,1,1,0,"Several elements break the dominant alignment pattern."
"test_overload_001","overloaded_screen","overloaded_screen",1,0,0,1,1,1,0,"Screen has too many controls and weak hierarchy."
"test_color_same_action_001","color_inconsistency","color_inconsistency",1,0,0,1,1,1,0,"Same action uses different colors across screens."
"test_color_different_actions_001","same_color_different_actions","same_color_different_actions",1,0,0,1,1,1,0,"Different actions use the same visual color."
"test_error_visibility_001","color_inconsistency|weak_error_visibility|low_contrast_error_message|poor_error_state_styling","color_inconsistency|weak_error_visibility|low_contrast_error_message|poor_error_state_styling",4,0,0,1,1,1,0,"Error text blends with the interface and has weak contrast."
"test_destructive_001","destructive_without_undo|irreversible_without_confirmation","destructive_without_undo|irreversible_without_confirmation",2,0,0,1,1,1,0,"Delete action appears without undo or confirmation."
"test_correct_001","","",0,0,0,1,1,1,0,"Clean screen with consistent layout, color, and control behavior."
"test_borderline_spacing_001","","",0,0,0,1,1,1,0,"Spacing differs slightly but should still be acceptable."
"test_modal_with_exit_001","","",0,0,0,1,1,1,0,"Modal-like frame includes a clear close control."
"test_destructive_with_safety_001","","",0,0,0,1,1,1,0,"Delete action includes both undo and confirmation."
"test_borderline_color_001","","",0,0,0,1,1,1,0,"Color difference is visible but still within acceptable pattern."
"test_moderate_density_001","","",0,0,0,1,1,1,0,"Screen is moderately dense but not overloaded."
